key,row_gpio,column_gpio,panel_x,panel_y,pcb_x,pcb_y
KEY_1,4,7,19.875,56.625,16.875,48.0
KEY_2,4,8,38.925,56.625,35.925,48.0
KEY_3,4,9,57.974999999999994,56.625,54.974999999999994,48.0
KEY_4,4,10,77.02499999999998,56.625,74.02499999999998,48.0
KEY_5,4,11,96.07499999999999,56.625,93.07499999999999,48.0
KEY_6,4,12,115.125,56.625,112.125,48.0
KEY_7,5,7,19.875,37.575,16.875,67.05
KEY_8,5,8,38.925,37.575,35.925,67.05
KEY_9,5,9,57.974999999999994,37.575,54.974999999999994,67.05
KEY_10,5,10,77.02499999999998,37.575,74.02499999999998,67.05
KEY_11,5,11,96.07499999999999,37.575,93.07499999999999,67.05
KEY_12,5,12,115.125,37.575,112.125,67.05
KEY_13,6,7,19.875,18.525,16.875,86.1
KEY_14,6,8,38.925,18.525,35.925,86.1
KEY_15,6,9,57.974999999999994,18.525,54.974999999999994,86.1
KEY_16,6,10,77.02499999999998,18.525,74.02499999999998,86.1
KEY_17,6,11,96.07499999999999,18.525,93.07499999999999,86.1
KEY_18,6,12,115.125,18.525,112.125,86.1
